subject,qPCR.Trial,cycle,log10.fluor,fluor,treatment,gene
1,2,2,0.023570946,1.055773959,treat1,GOI
1,2,3,-0.073916092,0.84349771,treat1,GOI
1,2,4,0.297120675,1.982077696,treat1,GOI
1,2,5,-0.012279235,0.972121985,treat1,GOI
1,2,6,0.268997949,1.857795683,treat1,GOI
1,2,7,-0.021887197,0.950851733,treat1,GOI
1,2,8,-0.46318644,0.344202135,treat1,GOI
1,2,9,-0.000472603,0.998912384,treat1,GOI
1,2,10,0.108328343,1.283300438,treat1,GOI
1,2,11,0.250163533,1.778949144,treat1,GOI
1,2,12,0.411869996,2.581487322,treat1,GOI
1,2,13,0.141981569,1.386696979,treat1,GOI
1,2,14,0.063627348,1.157783477,treat1,GOI
1,2,15,-0.055262717,0.880516063,treat1,GOI
1,2,16,0.006479147,1.015030628,treat1,GOI
1,2,17,-0.035601584,0.921294368,treat1,GOI
1,2,18,-0.196831274,0.63557781,treat1,GOI
1,2,19,0.016006874,1.037544838,treat1,GOI
1,2,20,0.166650997,1.467746308,treat1,GOI
1,2,21,0.237594259,1.728201026,treat1,GOI
1,2,22,0.372811814,2.359455625,treat1,GOI
1,2,23,0.442164699,2.767991161,treat1,GOI
1,2,24,0.68468146,4.838173745,treat1,GOI
1,2,25,0.876222001,7.520072048,treat1,GOI
1,2,26,1.143639185,13.9199984,treat1,GOI
1,2,27,1.343637071,22.06160328,treat1,GOI
1,2,28,1.504402161,31.9449462,treat1,GOI
1,2,29,1.681189981,47.99433532,treat1,GOI
1,2,30,1.778730468,60.08007524,treat1,GOI
1,2,31,1.847200636,70.33972021,treat1,GOI
1,2,32,1.91358822,81.95740906,treat1,GOI
1,2,33,1.948250995,88.76688803,treat1,GOI
1,2,34,1.951976568,89.53164573,treat1,GOI
1,2,35,1.986260075,96.88578781,treat1,GOI
1,2,36,1.979144041,95.3112227,treat1,GOI
1,2,37,1.98348214,96.26804233,treat1,GOI
1,2,38,1.977455071,94.94127742,treat1,GOI
1,2,39,1.988396997,97.36368369,treat1,GOI
1,2,40,1.993747994,98.57073489,treat1,GOI
1,3,1,-0.150981429,0.706347758,treat1,GOI
1,3,2,-0.081693614,0.828526467,treat1,GOI
1,3,3,0.256661816,1.805767433,treat1,GOI
1,3,4,0.005188573,1.012018784,treat1,GOI
1,3,5,0.327603666,2.126197808,treat1,GOI
1,3,6,-0.087642888,0.817254108,treat1,GOI
1,3,7,-0.062773075,0.865419995,treat1,GOI
1,3,8,-0.156986175,0.696648691,treat1,GOI
1,3,9,0.035644226,1.085535988,treat1,GOI
1,3,10,-0.150182459,0.70764842,treat1,GOI
1,3,11,-0.40849028,0.39039992,treat1,GOI
1,3,12,-0.136678918,0.729997012,treat1,GOI
1,3,13,-0.017594064,0.960297804,treat1,GOI
1,3,14,0.258423203,1.813106033,treat1,GOI
1,3,15,-0.167116083,0.68058742,treat1,GOI
1,3,16,-0.11015939,0.775962279,treat1,GOI
1,3,17,-0.052186288,0.886775553,treat1,GOI
1,3,18,0.093997349,1.241644729,treat1,GOI
1,3,19,0.045071148,1.109356539,treat1,GOI
1,3,20,0.143599057,1.391871225,treat1,GOI
1,3,21,0.038552344,1.092829335,treat1,GOI
1,3,22,0.306637099,2.025989075,treat1,GOI
1,3,23,0.509239595,3.230275734,treat1,GOI
1,3,24,0.675290607,4.73467973,treat1,GOI
1,3,25,0.938558684,8.680778679,treat1,GOI
1,3,26,1.074656268,11.87561932,treat1,GOI
1,3,27,1.345727181,22.1680341,treat1,GOI
1,3,28,1.48231666,30.3610411,treat1,GOI
1,3,29,1.641731937,43.82601035,treat1,GOI
1,3,30,1.770687941,58.97771481,treat1,GOI
1,3,31,1.84954916,70.72112494,treat1,GOI
1,3,32,1.89683973,78.85690541,treat1,GOI
1,3,33,1.949473702,89.01715332,treat1,GOI
1,3,34,1.924542729,84.05096992,treat1,GOI
1,3,35,1.93897342,86.89072476,treat1,GOI
1,3,36,1.94689815,88.49080581,treat1,GOI
1,3,37,1.974285966,94.25099993,treat1,GOI
1,3,38,1.998185034,99.58296067,treat1,GOI
1,3,39,2.013356282,103.1231766,treat1,GOI
1,3,40,2.02543557,106.0316622,treat1,GOI
2,1,1,-0.075514719,0.840398524,treat1,GOI
2,1,2,-0.099951649,0.794416673,treat1,GOI
2,1,3,0.694931789,4.953723803,treat1,GOI
2,1,4,-0.007905581,0.981961407,treat1,GOI
2,1,5,-0.087368676,0.817770281,treat1,GOI
2,1,6,-0.005796659,0.98674138,treat1,GOI
2,1,7,-0.123888791,0.751815385,treat1,GOI
2,1,8,0.160211192,1.446142841,treat1,GOI
2,1,9,0.021159752,1.049928567,treat1,GOI
2,1,10,-0.490026263,0.323574089,treat1,GOI
2,1,11,-0.248731134,0.563986704,treat1,GOI
2,1,12,0.356857605,2.274351603,treat1,GOI
2,1,13,0.18889358,1.544875835,treat1,GOI
2,1,14,0.251579807,1.784759929,treat1,GOI
2,1,15,-0.281850016,0.522576631,treat1,GOI
2,1,16,-0.017262993,0.961030136,treat1,GOI
2,1,17,0.113419736,1.298433573,treat1,GOI
2,1,18,0.005221367,1.012095204,treat1,GOI
2,1,19,-0.030946887,0.931221755,treat1,GOI
2,1,20,0.194291209,1.564196137,treat1,GOI
2,1,21,0.324831865,2.112670971,treat1,GOI
2,1,22,0.262664213,1.830898265,treat1,GOI
2,1,23,0.428091658,2.679733823,treat1,GOI
2,1,24,0.65453538,4.513727947,treat1,GOI
2,1,25,0.860271971,7.248897709,treat1,GOI
2,1,26,1.077697181,11.95906374,treat1,GOI
2,1,27,1.291141969,19.54978423,treat1,GOI
2,1,28,1.45719623,28.65472402,treat1,GOI
2,1,29,1.629787607,42.63709499,treat1,GOI
2,1,30,1.729559466,53.64873251,treat1,GOI
2,1,31,1.832417131,67.98563066,treat1,GOI
2,1,32,1.906766456,80.68010524,treat1,GOI
2,1,33,1.933674042,85.83690339,treat1,GOI
2,1,34,1.970621416,93.45906151,treat1,GOI
2,1,35,1.948150999,88.74645189,treat1,GOI
2,1,36,1.964304131,92.10943766,treat1,GOI
2,1,37,1.947540762,88.62183976,treat1,GOI
2,1,38,1.996951887,99.30060335,treat1,GOI
2,1,39,1.99638409,99.17086237,treat1,GOI
2,1,40,1.999596117,99.90704562,treat1,GOI
2,2,1,-0.069313282,0.852484945,treat1,GOI
2,2,2,-0.084092799,0.823962034,treat1,GOI
2,2,3,-0.049338044,0.892610427,treat1,GOI
2,2,4,0.183724596,1.526597673,treat1,GOI
2,2,5,0.272758735,1.873953177,treat1,GOI
2,2,6,-0.104992219,0.785249703,treat1,GOI
2,2,7,-0.093529603,0.806251242,treat1,GOI
2,2,8,-0.129997912,0.741313806,treat1,GOI
2,2,9,-0.007122213,0.983734238,treat1,GOI
2,2,10,0.147358346,1.403971675,treat1,GOI
2,2,11,0.335722332,2.166318616,treat1,GOI
2,2,12,0.086524762,1.220463406,treat1,GOI
2,2,13,-0.147878795,0.71141203,treat1,GOI
2,2,14,-0.032940603,0.926956591,treat1,GOI
2,2,15,0.156862781,1.435035951,treat1,GOI
2,2,16,0.497004231,3.140539291,treat1,GOI
2,2,17,-0.143332128,0.718898988,treat1,GOI
2,2,18,0.104503773,1.2720488,treat1,GOI
2,2,19,0.197264442,1.574941553,treat1,GOI
2,2,20,0.035407266,1.084943859,treat1,GOI
2,2,21,0.223197191,1.671849545,treat1,GOI
2,2,22,0.351200686,2.244919054,treat1,GOI
2,2,23,0.420131535,2.631064743,treat1,GOI
2,2,24,0.678076613,4.765150408,treat1,GOI
2,2,25,0.842099106,6.951829395,treat1,GOI
2,2,26,1.039097914,10.94203033,treat1,GOI
2,2,27,1.294592712,19.70573837,treat1,GOI
2,2,28,1.477677819,30.03847077,treat1,GOI
2,2,29,1.624510122,42.12211041,treat1,GOI
2,2,30,1.72381265,52.94350025,treat1,GOI
2,2,31,1.812866094,64.99292675,treat1,GOI
2,2,32,1.841160461,69.36820572,treat1,GOI
2,2,33,1.920224866,83.2194547,treat1,GOI
2,2,34,1.975713664,94.56135003,treat1,GOI
2,2,35,1.978192361,95.10259361,treat1,GOI
2,2,36,2.011441859,102.6695974,treat1,GOI
2,2,37,2.006005454,101.392412,treat1,GOI
2,2,38,1.987896951,97.25164385,treat1,GOI
2,2,39,1.975357815,94.48390071,treat1,GOI
2,2,40,1.99208731,98.19453322,treat1,GOI
2,3,1,-0.255661268,0.555058467,treat1,GOI
2,3,2,-0.270258027,0.536712824,treat1,GOI
2,3,3,0.022332171,1.052766776,treat1,GOI
2,3,4,0.130120722,1.349337909,treat1,GOI
2,3,5,-0.103666131,0.787651073,treat1,GOI
2,3,6,0.219546901,1.657856366,treat1,GOI
2,3,7,-0.058677174,0.87362052,treat1,GOI
2,3,8,0.040967873,1.098924542,treat1,GOI
2,3,9,-0.018683391,0.957892139,treat1,GOI
2,3,10,-0.090051754,0.812733658,treat1,GOI
2,3,11,-0.148873251,0.709784889,treat1,GOI
2,3,12,0.570658299,3.720988253,treat1,GOI
2,3,13,-0.428741656,0.372613292,treat1,GOI
2,3,14,-0.121664136,0.755676408,treat1,GOI
2,3,15,-0.246610882,0.566746853,treat1,GOI
2,3,16,0.038706121,1.093216356,treat1,GOI
2,3,17,0.199149958,1.581794125,treat1,GOI
2,3,18,0.238412569,1.731460421,treat1,GOI
2,3,19,0.107222524,1.280037002,treat1,GOI
2,3,20,0.045398678,1.110193493,treat1,GOI
2,3,21,0.226751846,1.685589611,treat1,GOI
2,3,22,0.300482361,1.997479638,treat1,GOI
2,3,23,0.427411332,2.675539282,treat1,GOI
2,3,24,0.611337181,4.086365237,treat1,GOI
2,3,25,0.818016646,6.576830458,treat1,GOI
2,3,26,1.095680123,12.46465099,treat1,GOI
2,3,27,1.262185258,18.288802,treat1,GOI
2,3,28,1.479208155,30.14450485,treat1,GOI
2,3,29,1.619937806,41.68096894,treat1,GOI
2,3,30,1.756608322,57.0963469,treat1,GOI
2,3,31,1.841738384,69.46057666,treat1,GOI
2,3,32,1.896425859,78.78179276,treat1,GOI
2,3,33,1.976139937,94.65421041,treat1,GOI
2,3,34,1.937182043,86.53305638,treat1,GOI
2,3,35,1.970026257,93.33107258,treat1,GOI
2,3,36,2.005391147,101.2490943,treat1,GOI
2,3,37,1.997260592,99.37121325,treat1,GOI
2,3,38,2.006588117,101.5285344,treat1,GOI
2,3,39,1.975783762,94.57661403,treat1,GOI
2,3,40,1.997827857,99.50109418,treat1,GOI
3,1,1,-0.276227273,0.529386335,treat1,GOI
3,1,2,-0.008089745,0.981545091,treat1,GOI
3,1,3,-0.481243191,0.330184597,treat1,GOI
3,1,4,0.023812571,1.056361516,treat1,GOI
3,1,5,-0.332300701,0.465263838,treat1,GOI
3,1,6,0.110348267,1.289283031,treat1,GOI
3,1,7,-0.00212656,0.995115383,treat1,GOI
3,1,8,0.058026737,1.142948698,treat1,GOI
3,1,9,-0.05464748,0.881764317,treat1,GOI
3,1,10,-0.093765958,0.805812578,treat1,GOI
3,1,11,0.093686977,1.240757694,treat1,GOI
3,1,12,0.37846537,2.390371323,treat1,GOI
3,1,13,-0.033810069,0.925102662,treat1,GOI
3,1,14,-0.167832474,0.679465682,treat1,GOI
3,1,15,-0.104531622,0.786082952,treat1,GOI
3,1,16,-0.134627806,0.73345284,treat1,GOI
3,1,17,0.161175809,1.449358457,treat1,GOI
3,1,18,-0.127150004,0.746190982,treat1,GOI
3,1,19,-0.061626969,0.867706861,treat1,GOI
3,1,20,-0.006795719,0.984474069,treat1,GOI
3,1,21,0.250677048,1.781053841,treat1,GOI
3,1,22,0.443987966,2.779636245,treat1,GOI
3,1,23,0.388425642,2.445826477,treat1,GOI
3,1,24,0.669750645,4.674666635,treat1,GOI
3,1,25,0.899360156,7.931588172,treat1,GOI
3,1,26,1.074821746,11.88014513,treat1,GOI
3,1,27,1.308038453,20.32536968,treat1,GOI
3,1,28,1.47282093,29.70440998,treat1,GOI
3,1,29,1.616586626,41.36058052,treat1,GOI
3,1,30,1.727575081,53.40415905,treat1,GOI
3,1,31,1.855177807,71.64366713,treat1,GOI
3,1,32,1.893433848,78.24090188,treat1,GOI
3,1,33,1.930835859,85.27777473,treat1,GOI
3,1,34,1.983734324,96.32395904,treat1,GOI
3,1,35,2.002841765,100.656486,treat1,GOI
3,1,36,1.949504338,89.02343307,treat1,GOI
3,1,37,1.967596597,92.81038987,treat1,GOI
3,1,38,1.979661386,95.42482807,treat1,GOI
3,1,39,2.014941988,103.5003904,treat1,GOI
3,1,40,2.001255094,100.289414,treat1,GOI
3,2,1,0.158723813,1.441198539,treat1,GOI
3,2,2,-0.335909375,0.461413849,treat1,GOI
3,2,3,-0.328216196,0.469660249,treat1,GOI
3,2,4,-0.068375474,0.854327775,treat1,GOI
3,2,5,-0.233638552,0.583930888,treat1,GOI
3,2,6,-0.033183173,0.926438995,treat1,GOI
3,2,7,-0.482533124,0.329205344,treat1,GOI
3,2,8,-0.284187209,0.519771893,treat1,GOI
3,2,9,0.125585853,1.335321535,treat1,GOI
3,2,10,0.447922904,2.804935663,treat1,GOI
3,2,11,0.31702577,2.07503664,treat1,GOI
3,2,12,0.197693835,1.576499491,treat1,GOI
3,2,13,-0.029707494,0.933883078,treat1,GOI
3,2,14,0.513252183,3.260259606,treat1,GOI
3,2,15,0.030807173,1.073512667,treat1,GOI
3,2,16,0.283833989,1.922356759,treat1,GOI
3,2,17,0.179851997,1.513045529,treat1,GOI
3,2,18,0.00939826,1.021876142,treat1,GOI
3,2,19,0.126492083,1.338110821,treat1,GOI
3,2,20,0.241883757,1.745354931,treat1,GOI
3,2,21,0.268269866,1.854683746,treat1,GOI
3,2,22,0.277901124,1.896274148,treat1,GOI
3,2,23,0.459921873,2.883512729,treat1,GOI
3,2,24,0.618243821,4.151870709,treat1,GOI
3,2,25,0.89981539,7.93990654,treat1,GOI
3,2,26,1.116050412,13.06322514,treat1,GOI
3,2,27,1.326721544,21.2188354,treat1,GOI
3,2,28,1.501928621,31.76351974,treat1,GOI
3,2,29,1.62242173,41.92004401,treat1,GOI
3,2,30,1.757857331,57.2607894,treat1,GOI
3,2,31,1.811327405,64.76306669,treat1,GOI
3,2,32,1.894457618,78.42555811,treat1,GOI
3,2,33,1.899213228,79.28905239,treat1,GOI
3,2,34,1.962848788,91.80129084,treat1,GOI
3,2,35,1.967926062,92.88082444,treat1,GOI
3,2,36,2.014078729,103.2948643,treat1,GOI
3,2,37,2.012624255,102.9495033,treat1,GOI
3,2,38,2.011710799,102.7331959,treat1,GOI
3,2,39,1.974813602,94.36557739,treat1,GOI
3,2,40,2.028176745,106.7030281,treat1,GOI
3,3,1,0.137274899,1.37174978,treat1,GOI
3,3,2,0.050819823,1.124138503,treat1,GOI
3,3,3,-0.305309238,0.495097532,treat1,GOI
3,3,4,-0.115741068,0.766053201,treat1,GOI
3,3,5,-0.153123648,0.702872176,treat1,GOI
3,3,6,-0.243174313,0.571249308,treat1,GOI
3,3,7,0.147630558,1.404851947,treat1,GOI
3,3,8,-0.337240145,0.460002143,treat1,GOI
3,3,9,0.416955815,2.611895608,treat1,GOI
3,3,10,0.367223435,2.329289318,treat1,GOI
3,3,11,0.055446241,1.136177647,treat1,GOI
3,3,12,-0.307699262,0.492380378,treat1,GOI
3,3,13,-0.18215114,0.657429004,treat1,GOI
3,3,14,-0.074267412,0.842815643,treat1,GOI
3,3,15,-0.125790133,0.748531131,treat1,GOI
3,3,16,0.095751175,1.246669041,treat1,GOI
3,3,17,0.052087307,1.127424081,treat1,GOI
3,3,18,0.150276425,1.413436899,treat1,GOI
3,3,19,0.205361683,1.60458114,treat1,GOI
3,3,20,0.124421954,1.331747697,treat1,GOI
3,3,21,0.291929995,1.958528949,treat1,GOI
3,3,22,0.326122862,2.118960505,treat1,GOI
3,3,23,0.41234558,2.584315782,treat1,GOI
3,3,24,0.581551303,3.815498641,treat1,GOI
3,3,25,0.87392089,7.480332275,treat1,GOI
3,3,26,1.089792399,12.2968082,treat1,GOI
3,3,27,1.323684953,21.07099059,treat1,GOI
3,3,28,1.505756042,32.04468762,treat1,GOI
3,3,29,1.597912042,39.61977836,treat1,GOI
3,3,30,1.802346515,63.4375665,treat1,GOI
3,3,31,1.863752276,73.0722156,treat1,GOI
3,3,32,1.883543179,76.4791722,treat1,GOI
3,3,33,1.941632034,87.42427388,treat1,GOI
3,3,34,1.970206573,93.36983106,treat1,GOI
3,3,35,1.971963026,93.74821904,treat1,GOI
3,3,36,2.028289104,106.7306376,treat1,GOI
3,3,37,2.011170181,102.6053914,treat1,GOI
3,3,38,1.991833982,98.13727204,treat1,GOI
3,3,39,1.990183815,97.76509229,treat1,GOI
3,3,40,1.987367345,97.13312126,treat1,GOI
4,1,1,-0.12698015,0.746482877,treat1,GOI
4,1,2,-0.027653854,0.938309571,treat1,GOI
4,1,3,-0.484575206,0.327661031,treat1,GOI
4,1,4,0.194674348,1.565576697,treat1,GOI
4,1,5,0.128906746,1.345571394,treat1,GOI
4,1,6,0.370178633,2.345193234,treat1,GOI
4,1,7,0.035043788,1.084036206,treat1,GOI
4,1,8,0.34918632,2.234530668,treat1,GOI
4,1,9,0.09900415,1.256041966,treat1,GOI
4,1,10,-0.007245301,0.983455468,treat1,GOI
4,1,11,0.323438018,2.105901327,treat1,GOI
4,1,12,0.020615107,1.048612685,treat1,GOI
4,1,13,0.048252797,1.117513548,treat1,GOI
4,1,14,0.093357497,1.239816743,treat1,GOI
4,1,15,0.049573975,1.120918339,treat1,GOI
4,1,16,0.088890576,1.227130007,treat1,GOI
4,1,17,0.002094848,1.004835219,treat1,GOI
4,1,18,0.040990138,1.098980884,treat1,GOI
4,1,19,0.212798642,1.63229497,treat1,GOI
4,1,20,0.228416429,1.692062609,treat1,GOI
4,1,21,0.208903529,1.61772065,treat1,GOI
4,1,22,0.289490589,1.947558846,treat1,GOI
4,1,23,0.450065679,2.818809191,treat1,GOI
4,1,24,0.629168947,4.257640096,treat1,GOI
4,1,25,0.875657722,7.510307554,treat1,GOI
4,1,26,1.096876401,12.49903262,treat1,GOI
4,1,27,1.314412935,20.62590128,treat1,GOI
4,1,28,1.489515284,30.8684828,treat1,GOI
4,1,29,1.606664539,40.42635069,treat1,GOI
4,1,30,1.759595081,57.490367,treat1,GOI
4,1,31,1.819892838,66.05304418,treat1,GOI
4,1,32,1.892264304,78.03048451,treat1,GOI
4,1,33,1.949086914,88.93790893,treat1,GOI
4,1,34,1.968398769,92.98197548,treat1,GOI
4,1,35,1.953282822,89.80134105,treat1,GOI
4,1,36,1.972823576,93.93416422,treat1,GOI
4,1,37,1.971697078,93.69082815,treat1,GOI
4,1,38,1.976001877,94.62412513,treat1,GOI
4,1,39,1.990412651,97.81661971,treat1,GOI
4,1,40,2.018208028,104.2816821,treat1,GOI
4,2,1,0.158149104,1.439292637,treat1,GOI
4,2,2,-0.319012218,0.479719953,treat1,GOI
4,2,3,0.239311977,1.735049928,treat1,GOI
4,2,4,-0.043048994,0.905630429,treat1,GOI
4,2,5,-0.482703683,0.329076081,treat1,GOI
4,2,6,0.104248367,1.271300936,treat1,GOI
4,2,7,0.195757009,1.569484421,treat1,GOI
4,2,8,0.402234835,2.524845655,treat1,GOI
4,2,9,-0.09326284,0.80674663,treat1,GOI
4,2,10,-0.236424523,0.580196998,treat1,GOI
4,2,11,-0.143970903,0.717842384,treat1,GOI
4,2,12,0.051044592,1.124720452,treat1,GOI
4,2,13,0.003985949,1.009220234,treat1,GOI
4,2,14,0.075741981,1.190534488,treat1,GOI
4,2,15,0.076222362,1.191852089,treat1,GOI
4,2,16,0.102062555,1.26491853,treat1,GOI
4,2,17,0.202721881,1.594857485,treat1,GOI
4,2,18,0.089678358,1.22935796,treat1,GOI
4,2,19,0.175199261,1.496922309,treat1,GOI
4,2,20,0.205806449,1.606225251,treat1,GOI
4,2,21,0.205975186,1.606849442,treat1,GOI
4,2,22,0.255051679,1.799084986,treat1,GOI
4,2,23,0.436076191,2.729456587,treat1,GOI
4,2,24,0.617407053,4.143878875,treat1,GOI
4,2,25,0.882290675,7.625892426,treat1,GOI
4,2,26,1.099570211,12.57680164,treat1,GOI
4,2,27,1.30545209,20.20468529,treat1,GOI
4,2,28,1.48093544,30.26463495,treat1,GOI
4,2,29,1.676154775,47.44110265,treat1,GOI
4,2,30,1.752349603,56.53919272,treat1,GOI
4,2,31,1.876922832,75.3221715,treat1,GOI
4,2,32,1.926676438,84.46493226,treat1,GOI
4,2,33,1.940372911,87.17117717,treat1,GOI
4,2,34,1.978029097,95.0668484,treat1,GOI
4,2,35,1.937087501,86.51422097,treat1,GOI
4,2,36,1.984797115,96.55996843,treat1,GOI
4,2,37,1.998381549,99.62803131,treat1,GOI
4,2,38,1.976397929,94.71045641,treat1,GOI
4,2,39,1.988357703,97.3548748,treat1,GOI
4,2,40,2.046794103,111.3766378,treat1,GOI
4,3,1,0.235317016,1.719162841,treat1,GOI
4,3,2,-0.11525409,0.766912666,treat1,GOI
4,3,3,-0.084337438,0.823498024,treat1,GOI
4,3,4,-0.101879002,0.790898948,treat1,GOI
4,3,5,0.17153215,1.484335759,treat1,GOI
4,3,6,-0.124007714,0.751609543,treat1,GOI
4,3,7,-0.332514277,0.465035089,treat1,GOI
4,3,8,-0.157949296,0.695105466,treat1,GOI
4,3,9,-0.122386982,0.754419695,treat1,GOI
4,3,10,0.043350772,1.104970725,treat1,GOI
4,3,11,-0.059224546,0.872520127,treat1,GOI
4,3,12,0.347011364,2.223368068,treat1,GOI
4,3,13,-0.126728084,0.746916264,treat1,GOI
4,3,14,0.147812187,1.405439604,treat1,GOI
4,3,15,0.039557563,1.09536173,treat1,GOI
4,3,16,0.4445452,2.783205029,treat1,GOI
4,3,17,0.123992483,1.330431391,treat1,GOI
4,3,18,0.102051199,1.264885455,treat1,GOI
4,3,19,-0.036512341,0.919364349,treat1,GOI
4,3,20,0.156402825,1.433516925,treat1,GOI
4,3,21,0.10276038,1.266952639,treat1,GOI
4,3,22,0.316671673,2.073345476,treat1,GOI
4,3,23,0.552308575,3.567044888,treat1,GOI
4,3,24,0.635181662,4.316996153,treat1,GOI
4,3,25,0.832616564,6.801685771,treat1,GOI
4,3,26,1.123862648,13.30033707,treat1,GOI
4,3,27,1.335523486,21.65326976,treat1,GOI
4,3,28,1.461865527,28.96446606,treat1,GOI
4,3,29,1.643981418,44.05360139,treat1,GOI
4,3,30,1.744101651,55.47555438,treat1,GOI
4,3,31,1.802430913,63.44989579,treat1,GOI
4,3,32,1.917815924,82.75913133,treat1,GOI
4,3,33,1.912445519,81.74204879,treat1,GOI
4,3,34,1.933262218,85.75554624,treat1,GOI
4,3,35,1.961522275,91.52131998,treat1,GOI
4,3,36,2.023108228,105.4649686,treat1,GOI
4,3,37,2.020098725,104.7366611,treat1,GOI
4,3,38,1.975649252,94.54732633,treat1,GOI
4,3,39,1.98492188,96.58771245,treat1,GOI
4,3,40,2.031134252,107.4321463,treat1,GOI
5,1,1,-0.165904556,0.682488667,treat1,GOI
5,1,2,0.255235789,1.799847831,treat1,GOI
5,1,3,0.282858038,1.918041668,treat1,GOI
5,1,4,0.275038039,1.883814084,treat1,GOI
5,1,5,0.449014733,2.811996225,treat1,GOI
5,1,6,-0.03328962,0.926211951,treat1,GOI
5,1,7,0.010839704,1.025273434,treat1,GOI
5,1,8,0.001252985,1.002889272,treat1,GOI
5,1,9,-0.01345289,0.96949843,treat1,GOI
5,1,10,0.108790507,1.284666818,treat1,GOI
5,1,11,-0.382500216,0.414476378,treat1,GOI
5,1,12,-0.024502731,0.94514245,treat1,GOI
5,1,13,0.182539144,1.522436348,treat1,GOI
5,1,14,-0.061050961,0.86885847,treat1,GOI
5,1,15,0.244491902,1.755868153,treat1,GOI
5,1,16,0.291094875,1.954766442,treat1,GOI
5,1,17,0.086920122,1.22157496,treat1,GOI
5,1,18,0.023237653,1.054964033,treat1,GOI
5,1,19,-0.011008225,0.974971173,treat1,GOI
5,1,20,0.057299958,1.141037605,treat1,GOI
5,1,21,0.141019477,1.383628428,treat1,GOI
5,1,22,0.491923433,3.104012295,treat1,GOI
5,1,23,0.491399168,3.100267501,treat1,GOI
5,1,24,0.657654952,4.546267141,treat1,GOI
5,1,25,0.914388692,8.210860839,treat1,GOI
5,1,26,1.143171401,13.90501307,treat1,GOI
5,1,27,1.32069583,20.92646299,treat1,GOI
5,1,28,1.559523919,36.26802601,treat1,GOI
5,1,29,1.661507722,45.86778013,treat1,GOI
5,1,30,1.731057963,53.83416277,treat1,GOI
5,1,31,1.800729591,63.20182096,treat1,GOI
5,1,32,1.89161718,77.91430119,treat1,GOI
5,1,33,1.936892818,86.47544741,treat1,GOI
5,1,34,1.960269924,91.25778523,treat1,GOI
5,1,35,1.965180785,92.29555489,treat1,GOI
5,1,36,1.969469373,93.21147333,treat1,GOI
5,1,37,2.001076816,100.2482536,treat1,GOI
5,1,38,1.951130993,89.35749648,treat1,GOI
5,1,39,1.990698838,97.88109916,treat1,GOI
5,1,40,2.014598762,103.4186257,treat1,GOI
5,2,1,0.152908228,1.422028262,treat1,GOI
5,2,2,0.282388263,1.915968053,treat1,GOI
5,2,3,0.207827768,1.613718462,treat1,GOI
5,2,4,0.067913167,1.169265584,treat1,GOI
5,2,5,0.35642006,2.272061381,treat1,GOI
5,2,6,0.019819912,1.046694428,treat1,GOI
5,2,7,-0.043711253,0.904250477,treat1,GOI
5,2,8,-0.23118353,0.587241136,treat1,GOI
5,2,9,-0.29072804,0.512002357,treat1,GOI
5,2,10,0.044903735,1.108928985,treat1,GOI
5,2,11,-0.088742334,0.81518779,treat1,GOI
5,2,12,0.149786356,1.411842842,treat1,GOI
5,2,13,0.015525008,1.036394282,treat1,GOI
